line,question,question_type,keywords
273,What do you know about gradient?,random forest,['gradient']
274,Do you know about gradient?,random forest,['gradient']
275,What is the process of gradient?,random forest,['gradient']
276,How gradient works ?,random forest,['gradient']
277,Tell me gradient?,random forest,['gradient']
278,Let me know about gradient?,random forest,['gradient']
279,What is gradient?,random forest,['gradient']
280,What do you say about gradient?,random forest,['gradient']
281,What does gradient mean?,random forest,"['gradient', 'mean']"
282,Explain gradient?,random forest,['gradient']
283,Define gradient?,random forest,['gradient']
284,Can you explain about gradient?,random forest,['gradient']
285,Can you say something about gradient?,random forest,['gradient']
286,Can you explain briefly about gradient?,random forest,['gradient']
287,Give a short summary about gradient?,random forest,"['summary', 'gradient']"
288,short note on gradient?,random forest,['gradient']
289,What is pseudo residual?,random forest,['residual']
290,Tell me about pseudo residual?,random forest,['residual']
291,What do you know about pseudo residual?,random forest,['residual']
292,Do you know about pseudo residual?,random forest,['residual']
293,What is the process of pseudo residual?,random forest,['residual']
294,How pseudo residual works ?,random forest,['residual']
295,Tell me pseudo residual?,random forest,['residual']
296,Let me know about pseudo residual?,random forest,['residual']
297,What is pseudo residual?,random forest,['residual']
298,What do you say about pseudo residual?,random forest,['residual']
299,What does pseudo residualmean?,random forest,[]
300,Explain pseudo residual?,random forest,['residual']
301,Define pseudo residual?,random forest,['residual']
302,Can you explain about pseudo residual?,random forest,['residual']
303,Can you say something about pseudo residual?,random forest,['residual']
304,Can you explain briefly about pseudo residual?,random forest,['residual']
305,Can you give a short summary about pseudo residual?,random forest,"['summary', 'residual']"
306,What is varience in reduction?,random forest,[]
307,Tell me about varience in reduction?,random forest,[]
308,What do you know about varience in reduction?,random forest,[]
309,Do you know about varience in reduction?,random forest,[]
310,What is the process of varience in reduction?,random forest,[]
311,How varience in reduction works ?,random forest,[]
312,Tell me varience in reduction?,random forest,[]
313,Let me know about varience in reduction?,random forest,[]
314,What is varience in reduction?,random forest,[]
315,What do you say about varience in reduction?,random forest,[]
316,What does varience in reductionmean?,random forest,[]
317,Explain varience in reduction?,random forest,[]
318,Define varience in reduction?,random forest,[]
319,Can you explain about varience in reduction?,random forest,[]
320,Can you say something about varience in reduction?,random forest,[]
321,Can you explain briefly about varience in reduction?,random forest,[]
322,Can you give a short summary about varience in reduction?,random forest,['summary']
323,What is weighted average?,random forest,['average']
324,Tell me about weighted average?,random forest,['average']
325,What do you know about weighted average?,random forest,['average']
326,Do you know about weighted average?,random forest,['average']
327,What is the process of weighted average?,random forest,['average']
328,How weighted average works ?,random forest,['average']
329,Tell me weighted average?,random forest,['average']
330,Let me know about weighted average?,random forest,['average']
331,What is weighted average?,random forest,['average']
332,What do you say about weighted average?,random forest,['average']
333,What does weighted averagemean?,random forest,[]
334,Explain weighted average?,random forest,['average']
335,Define weighted average?,random forest,['average']
336,Can you explain about weighted average?,random forest,['average']
337,Say something about weighted average?,random forest,['average']
338,Can you explain briefly about weighted average?,random forest,['average']
339,Give a breif note about weighted average?,random forest,['average']
340,What is loss function?,random forest,"['function', 'loss']"
341,Tell me about loss function?,random forest,"['function', 'loss']"
342,What do you know about loss function?,random forest,"['function', 'loss']"
343,Do you know about loss function?,random forest,"['function', 'loss']"
344,What is the process of loss function?,random forest,"['function', 'loss']"
345,How loss function works ?,random forest,"['function', 'loss']"
346,Tell me loss function?,random forest,"['function', 'loss']"
347,Let me know about loss function?,random forest,"['function', 'loss']"
348,What is loss function?,random forest,"['function', 'loss']"
349,What do you say about loss function?,random forest,"['function', 'loss']"
350,What does loss functionmean?,random forest,['loss']
351,Explain loss function?,random forest,"['function', 'loss']"
352,Define loss function?,random forest,"['function', 'loss']"
353,Can you explain about loss function?,random forest,"['function', 'loss']"
354,Say something about loss function?,random forest,"['function', 'loss']"
355,Explain briefly about loss function?,random forest,"['function', 'loss']"
356,Give a short summary about loss function?,random forest,"['function', 'loss', 'summary']"
357,What is XGBoost?,random forest,[]
358,Tell me about XGBoost?,random forest,[]
359,What do you know about XGBoost?,random forest,[]
360,Do you know about XGBoost?,random forest,[]
361,What is the process of XGBoost?,random forest,[]
362,How XGBoost works ?,random forest,[]
363,Tell me XGBoost?,random forest,[]
364,Let me know about XGBoost?,random forest,[]
365,What is XGBoost?,random forest,[]
366,What do you say about XGBoost?,random forest,[]
367,What does XGBoost mean?,random forest,['mean']
368,Explain XGBoost?,random forest,[]
369,Define XGBoost?,random forest,[]
370,Can you explain about XGBoost?,random forest,[]
371,Say something about XGBoost?,random forest,[]
372,Explain briefly about XGBoost?,random forest,[]
373,Can you give a short note about XGBoost?,random forest,[]
374,What is learning rate?,random forest,"['learning', 'learning rate']"
375,Tell me about learning rate?,random forest,"['learning', 'learning rate']"
376,What do you know about learning rate?,random forest,"['learning', 'learning rate']"
377,Do you know about learning rate?,random forest,"['learning', 'learning rate']"
378,What is the process of learning rate?,random forest,"['learning', 'learning rate']"
379,How learning rate works ?,random forest,"['learning', 'learning rate']"
380,Tell me learning rate?,random forest,"['learning', 'learning rate']"
381,Let me know about learning rate?,random forest,"['learning', 'learning rate']"
382,What is learning rate?,random forest,"['learning', 'learning rate']"
383,What do you say about learning rate?,random forest,"['learning', 'learning rate']"
384,What does learning ratemean?,random forest,['learning']
385,Explain learning rate?,random forest,"['learning', 'learning rate']"
386,Define learning rate?,random forest,"['learning', 'learning rate']"
387,Can you explain about learning rate?,random forest,"['learning', 'learning rate']"
388,Say something about learning rate?,random forest,"['learning', 'learning rate']"
389,Explain briefly about learning rate?,random forest,"['learning', 'learning rate']"
390,Give a short note about learning rate?,random forest,"['learning', 'learning rate']"
391,What is ada boost?,random forest,[]
392,Tell me about ada boost?,random forest,[]
393,What do you know about ada boost?,random forest,[]
394,Do you know about ada boost?,random forest,[]
395,What is the process of ada boost?,random forest,[]
396,How ada boost works ?,random forest,[]
397,Tell me ada boost?,random forest,[]
398,Let me know about ada boost?,random forest,[]
399,What is ada boost?,random forest,[]
400,What do you say about ada boost?,random forest,[]
401,What does ada boostmean?,random forest,[]
402,Explain ada boost?,random forest,[]
403,Define ada boost?,random forest,[]
404,Explain about ada boost?,random forest,[]
405,Say something about ada boost?,random forest,[]
406,Briefly tell about ada boost?,random forest,[]
407,Give a short note about ada boost?,random forest,[]
408,What is weak learner?,random forest,[]
409,Tell me about weak learner?,random forest,[]
410,What do you know about weak learner?,random forest,[]
411,Do you know about weak learner?,random forest,[]
412,What is the process of weak learner?,random forest,[]
413,How weak learner works ?,random forest,[]
414,Tell me weak learner?,random forest,[]
415,Let me know about weak learner?,random forest,[]
416,What is weak learner?,random forest,[]
417,What do you say about weak learner?,random forest,[]
418,What does weak learnermean?,random forest,[]
419,Explain weak learner?,random forest,[]
420,Define weak learner?,random forest,[]
421,Can you explain about weak learner?,random forest,[]
422,Say something about weak learner?,random forest,[]
423,Briefly tell about weak learner?,random forest,[]
424,Give a short note about weak learner?,random forest,[]
425,What is random forest classifier?,random forest,"['classifier', 'random forest']"
426,Tell me about random forest classifier?,random forest,"['classifier', 'random forest']"
427,What do you know about random forest classifier?,random forest,"['classifier', 'random forest']"
428,Do you know about random forest classifier?,random forest,"['classifier', 'random forest']"
429,What is the process of random forest classifier?,random forest,"['classifier', 'random forest']"
430,How random forest classifier works ?,random forest,"['classifier', 'random forest']"
431,Tell me random forest classifier?,random forest,"['classifier', 'random forest']"
432,Let me know about random forest classifier?,random forest,"['classifier', 'random forest']"
433,What is random forest classifier?,random forest,"['classifier', 'random forest']"
434,What do you say about random forest classifier?,random forest,"['classifier', 'random forest']"
435,What does random forest classifier mean?,random forest,"['classifier', 'random forest', 'mean']"
436,Explain random forest classifier?,random forest,"['classifier', 'random forest']"
437,Define random forest classifier?,random forest,"['classifier', 'random forest']"
438,Can you explain about random forest classifier?,random forest,"['classifier', 'random forest']"
439,Can you say something about random forest classifier?,random forest,"['classifier', 'random forest']"
440,Briefly explain about random forest classifier?,random forest,"['classifier', 'random forest']"
441,Give a short note about random forest classifier?,random forest,"['classifier', 'random forest']"
442,What is random forest regressor?,random forest,['random forest']
443,Tell me about random forest regressor?,random forest,['random forest']
444,What do you know about random forest regressor?,random forest,['random forest']
445,Do you know about random forest regressor?,random forest,['random forest']
446,What is the process of random forest regressor?,random forest,['random forest']
447,How random forest regressor works ?,random forest,['random forest']
448,Tell me random forest regressor?,random forest,['random forest']
449,Let me know about random forest regressor?,random forest,['random forest']
450,What is random forest regressor?,random forest,['random forest']
451,What do you say about random forest regressor?,random forest,['random forest']
452,What does random forest regressor mean?,random forest,"['random forest', 'mean']"
453,Explain random forest regressor?,random forest,['random forest']
454,Define random forest regressor?,random forest,['random forest']
455,Can you explain about random forest regressor?,random forest,['random forest']
456,Say something about random forest regressor?,random forest,['random forest']
457,Briefly explain about random forest regressor?,random forest,['random forest']
458,Give a short note about random forest regressor?,random forest,['random forest']
459,What is randomness?,random forest,[]
460,Tell me about randomness?,random forest,[]
461,What do you know about randomness?,random forest,[]
462,Do you know about randomness?,random forest,[]
463,What is the process of randomness?,random forest,[]
464,How randomness works ?,random forest,[]
465,Let me know about randomness?,random forest,[]
466,What is randomness?,random forest,[]
467,What do you say about randomness?,random forest,[]
468,What does randomnessmean?,random forest,[]
469,Explain randomness?,random forest,[]
470,Can you explain about randomness?,random forest,[]
471,Say something about randomness?,random forest,[]
472,Briefly explain about randomness?,random forest,[]
473,Give a short summary about randomness?,random forest,['summary']
474,Brief note on randomness?,random forest,[]
475,What is base score?,random forest,[]
476,Tell me about base score?,random forest,[]
477,What do you know about base score?,random forest,[]
478,Do you know about base score?,random forest,[]
479,What is the process of base score?,random forest,[]
480,How base score works ?,random forest,[]
481,Tell me base score?,random forest,[]
482,Let me know about base score?,random forest,[]
483,What is base score?,random forest,[]
484,What do you say about base score?,random forest,[]
485,What does base scoremean?,random forest,[]
486,Explain base score?,random forest,[]
487,Define base score?,random forest,[]
488,Can you explain about base score?,random forest,[]
489,Say something about base score?,random forest,[]
490,Brief note on base score?,random forest,[]
491,Give a short summary about base score?,random forest,['summary']
492,What is depth of tree?,random forest,['depth']
493,Tell me about depth of tree?,random forest,['depth']
494,What do you know about depth of tree?,random forest,['depth']
495,Do you know about depth of tree?,random forest,['depth']
496,What is the process of depth of tree?,random forest,['depth']
497,How depth of tree works ?,random forest,['depth']
498,Tell me depth of tree?,random forest,['depth']
499,Let me know about depth of tree?,random forest,['depth']
500,What is depth of tree?,random forest,['depth']
501,What do you say about depth of tree?,random forest,['depth']
502,What does depth of treemean?,random forest,['depth']
503,Explain depth of tree?,random forest,['depth']
504,Define depth of tree?,random forest,['depth']
505,Can you explain about depth of tree?,random forest,['depth']
506,Say something about depth of tree?,random forest,['depth']
507,Briefly explain about depth of tree?,random forest,['depth']
508,Give a short note on depth of tree?what is the primary difference between Bagging and Boosting?,random forest,"['depth', 'boosting']"
509,How Bagging is differ from Boosting?,random forest,['boosting']
510,Tell me about Bagging and Boosting?,random forest,['boosting']
511,What do you know about Bagging and Boosting?,random forest,['boosting']
512,Do you know about Bagging and Boosting?,random forest,['boosting']
513,distinguish between Bagging and Boosting?,random forest,['boosting']
514,mention some differences between Bagging and Boosting?,random forest,['boosting']
515,what are main difeferences between  Bagging and Boosting?,random forest,['boosting']
516,tell me some differences between Bagging and Boosting?,random forest,['boosting']
517,list out some differences betwen Bagging and Boosting?,random forest,['boosting']
518,what is difference between Bagging and Boosting?,random forest,['boosting']
519,Differentiate between Bagging and Boosting?,random forest,['boosting']
520,comparison between Bagging and Boosting?,random forest,['boosting']
521,compare Bagging and Boosting?Is Random Forest always better than decision tree?,random forest,"['random forest', 'boosting', 'decision tree']"
522,what is the primary difference between desicion tree and random forest?,random forest,['random forest']
523,How desicion tree is differ from random forest?,random forest,['random forest']
524,Tell me about desicion tree and random forest?,random forest,['random forest']
525,What do you know about desicion tree and random forest?,random forest,['random forest']
526,Do you know about desicion tree and random forest?,random forest,['random forest']
527,distinguish between desicion tree and random forest?,random forest,['random forest']
528,mention some differences between desicion tree and random forest?,random forest,['random forest']
529,what are main difeferences between  desicion tree and random forest?,random forest,['random forest']
530,tell me some differences between desicion tree and random forest?,random forest,['random forest']
531,list out some differences betwen desicion tree and random forest?,random forest,['random forest']
532,what is difference between desicion tree and random forest?,random forest,['random forest']
533,Differentiate between desicion tree and random forest?,random forest,['random forest']
534,comparison between desicion tree and random forest?,random forest,['random forest']
535,compare desicion tree and random forest?What are the types of boosting?,random forest,"['random forest', 'boosting']"
536,Tell me types of boosting?,random forest,['boosting']
537,Do you know types of  boosting?,random forest,['boosting']
538,Types of  boosting?,random forest,['boosting']
539,Different types of  boosting?,random forest,['boosting']
540,What are the different types of boosting?,random forest,['boosting']
541,how many types of boosting are there?,random forest,['boosting']
542,What are the important types of boosting?,random forest,['boosting']
543,list out different types of boosting?,random forest,['boosting']
544,what are the various types of boosting?,random forest,['boosting']
545,list out various types of boosting?,random forest,['boosting']
546,mention some boosting methods?,random forest,['boosting']
547,say different boosting methods?,random forest,['boosting']
548,Do you know the various types of boosting?,random forest,['boosting']
549,Where can random forest be used?,random forest,['random forest']
550,Main benefits of random forest algorithm?,random forest,"['random forest', 'algorithm']"
551,what are the uses of random forest ?,random forest,['random forest']
552,where do we use random forest ?,random forest,['random forest']
553,tell me some uses of random forest ?,random forest,['random forest']
554,list out some benefits of random forest ?,random forest,['random forest']
555,what is the use of random forest algorithm?,random forest,"['random forest', 'algorithm']"
556,what are the real time examples of random forest ?,random forest,['random forest']
557,list some examples of random forest ?what is the primary difference between error and residual?,random forest,"['random forest', 'residual']"
558,How error is differ from residual?,random forest,['residual']
559,Tell me about error and residual?,random forest,['residual']
560,What do you know about error and residual?,random forest,['residual']
561,Do you know about error and residual?,random forest,['residual']
562,distinguish between error and residual?,random forest,['residual']
563,mention some differences between error and residual?,random forest,['residual']
564,what are main difeferences between  error and residual?,random forest,['residual']
565,tell me some differences between error and residual?,random forest,['residual']
566,list out some differences betwen error and residual?,random forest,['residual']
567,what is difference between error and residual?,random forest,['residual']
568,Differentiate between error and residual?,random forest,['residual']
569,comparison between error and residual?Where can random forest be applicable?,random forest,"['random forest', 'residual']"
570,applications of random forest ?,random forest,['random forest']
571,Main applications of random forest ?,random forest,['random forest']
572,what are the applications of random forest ?,random forest,['random forest']
573,where do we applicable random forest ?,random forest,['random forest']
574,tell me some applications of random forest ?,random forest,['random forest']
575,list out some applications of random forest ?,random forest,['random forest']
576,what is the applications of random forest ?,random forest,['random forest']
577,where is random forest applicable?,random forest,['random forest']
578,list me know few applications of random forest ?,random forest,['random forest']
579,advantages of random forest ?,random forest,['random forest']
580,Main advantages of random forest ?,random forest,['random forest']
581,what are the advantages of random forest ?,random forest,['random forest']
582,tell me some advantages of random forest ?,random forest,['random forest']
583,list out some advantages of random forest ?,random forest,['random forest']
584,list me few advantages of random forest ?,random forest,['random forest']
585,list some advantages of random forest ?,random forest,['random forest']
586,Can you list out the advantages of random forest ?,random forest,['random forest']
587,List of advantages of random forest ?,random forest,['random forest']
588,advantages of bagging ?,random forest,[]
589,Main advantages of bagging ?,random forest,[]
590,what are the advantages of bagging ?,random forest,[]
591,tell me some advantages of bagging ?,random forest,[]
592,list out some advantages of bagging ?,random forest,[]
593,list me few advantages of bagging ?,random forest,[]
594,list some advantages of bagging ?,random forest,[]
595,Can you list out the advantages of bagging ?,random forest,[]
596,List of advantages of bagging ?,random forest,[]
597,advantages of boosting ?,random forest,['boosting']
598,Main advantages of boosting ?,random forest,['boosting']
599,what are the advantages of boosting ?,random forest,['boosting']
600,tell me some advantages of boosting ?,random forest,['boosting']
601,list out some advantages of boosting ?,random forest,['boosting']
602,list me few advantages of boosting ?,random forest,['boosting']
603,list some advantages of boosting ?,random forest,['boosting']
604,Can you list out the advantages of boosting ?,random forest,['boosting']
605,List of advantages of boosting ?,random forest,['boosting']
606,advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
607,Main advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
608,what are the advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
609,tell me some advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
610,list out some advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
611,list me few advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
612,list some advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
613,Can you list out the advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
614,List of advantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
615,advantages of XGboost ?,random forest,[]
616,Main advantages of XGboost ?,random forest,[]
617,what are the advantages of XGboost ?,random forest,[]
618,tell me some advantages of XGboost ?,random forest,[]
619,list out some advantages of XGboost ?,random forest,[]
620,list me few advantages of XGboost ?,random forest,[]
621,list some advantages of XGboost ?,random forest,[]
622,Can you list out the advantages of XGboost ?,random forest,[]
623,List of advantages of XGboost ?,random forest,[]
624,advantages of adaboost ?,random forest,[]
625,Main advantages of adaboost ?,random forest,[]
626,what are the advantages of adaboost ?,random forest,[]
627,tell me some advantages of adaboost ?,random forest,[]
628,list out some advantages of adaboost ?,random forest,[]
629,list me few advantages of adaboost ?,random forest,[]
630,list some advantages of adaboost ?,random forest,[]
631,Can you list out the advantages of adaboost ?,random forest,[]
632,List of advantages of adaboost ?,random forest,[]
633,advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
634,Main advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
635,what are the advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
636,tell me some advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
637,list out some advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
638,list me few advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
639,list some advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
640,Can you list out the advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
641,List of advantages of random forest classifier ?,random forest,"['classifier', 'random forest']"
642,advantages of random forest regressor ?,random forest,['random forest']
643,Main advantages of random forest regressor ?,random forest,['random forest']
644,what are the advantages of random forest regressor ?,random forest,['random forest']
645,tell me some advantages of random forest regressor ?,random forest,['random forest']
646,list out some advantages of random forest regressor ?,random forest,['random forest']
647,list me few advantages of random forest regressor ?,random forest,['random forest']
648,list some advantages of random forest regressor ?,random forest,['random forest']
649,Can you list out the advantages of random forest regressor ?,random forest,['random forest']
650,List of advantages of random forest regressor ?disadvantages of random forest ?,random forest,['random forest']
651,Main disadvantages of random forest ?,random forest,['random forest']
652,what are the disadvantages of random forest ?,random forest,['random forest']
653,tell me some disadvantages of random forest ?,random forest,['random forest']
654,list out some disadvantages of random forest ?,random forest,['random forest']
655,list me few disadvantages of random forest ?,random forest,['random forest']
656,list some disadvantages of random forest ?,random forest,['random forest']
657,Can you list out the disadvantages of random forest ?,random forest,['random forest']
658,List of disadvantages of random forest ?,random forest,['random forest']
659,disadvantages of bagging ?,random forest,[]
660,Main disadvantages of bagging ?,random forest,[]
661,what are the disadvantages of bagging ?,random forest,[]
662,tell me some disadvantages of bagging ?,random forest,[]
663,list out some disadvantages of bagging ?,random forest,[]
664,list me few disadvantages of bagging ?,random forest,[]
665,list some disadvantages of bagging ?,random forest,[]
666,Can you list out the disadvantages of bagging ?,random forest,[]
667,List of disadvantages of bagging ?,random forest,[]
668,disadvantages of boosting ?,random forest,['boosting']
669,Main disadvantages of boosting ?,random forest,['boosting']
670,what are the disadvantages of boosting ?,random forest,['boosting']
671,tell me some disadvantages of boosting ?,random forest,['boosting']
672,list out some disadvantages of boosting ?,random forest,['boosting']
673,list me few disadvantages of boosting ?,random forest,['boosting']
674,list some disadvantages of boosting ?,random forest,['boosting']
675,Can you list out the disadvantages of boosting ?,random forest,['boosting']
676,List of disadvantages of boosting ?,random forest,['boosting']
677,disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
678,Main disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
679,what are the disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
680,tell me some disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
681,list out some disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
682,list me few disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
683,list some disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
684,Can you list out the disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
685,List of disadvantages of gradient boosting ?,random forest,"['boosting', 'gradient']"
686,disadvantages of XGboost ?,random forest,[]
687,Main disadvantages of XGboost ?,random forest,[]
688,what are the disadvantages of XGboost ?,random forest,[]
689,tell me some disadvantages of XGboost ?,random forest,[]
690,list out some disadvantages of XGboost ?,random forest,[]
691,list me few disadvantages of XGboost ?,random forest,[]
692,list some disadvantages of XGboost ?,random forest,[]
693,Can you list out the disadvantages of XGboost ?,random forest,[]
694, disadvantages of XGboost ?,random forest,[]
695,List of disadvantages of XGboost ?,random forest,[]
696,disadvantages of adaboost ?,random forest,[]
697,Main disadvantages of adaboost ?,random forest,[]
698,what are the disadvantages of adaboost ?,random forest,[]
699,tell me some disadvantages of adaboost ?,random forest,[]
700,list out some disadvantages of adaboost ?,random forest,[]
701,list me few disadvantages of adaboost ?,random forest,[]
702,list some disadvantages of adaboost ?,random forest,[]
703,Can you list out the disadvantages of adaboost ?,random forest,[]
704, disadvantages of adaboost ?,random forest,[]
705,List of disadvantages of adaboost ?,random forest,[]
706,assumptions of random forest ?,random forest,['random forest']
707,Main assumptions of random forest ?,random forest,['random forest']
708,what are the assumptions of random forest ?,random forest,['random forest']
709,tell me some assumptions of random forest ?,random forest,['random forest']
710,list out some assumptions of random forest ?,random forest,['random forest']
711,list me few assumptions of random forest ?,random forest,['random forest']
712,list some assumptions of random forest ?,random forest,['random forest']
713,Can you list out the assumptions of random forest ?,random forest,['random forest']
714,what are the assumptions of random forest ?,random forest,['random forest']
715,List of assumptions of random forest ?,random forest,['random forest']
716,What is feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
717,Tell me about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
718,What do you know about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
719,Do you know about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
720,What is the process of feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
721,How feature selection in random forest works ?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
722,Tell me feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
723,About feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
724,Let me know about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
725,What is feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
726,What do you say about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
727,What does feature selection in random forest mean?,random forest,"['random forest', 'feature', 'mean', 'feature selection', 'selection']"
728,Explain feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
729,Define feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
730,Can you explain about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
731,Can you say something about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
732,Can you explain briefly about feature selection in random forest?,random forest,"['feature', 'selection', 'feature selection', 'random forest']"
733,Can you give a short summary about feature selection in random forest?,random forest,"['random forest', 'feature', 'feature selection', 'selection', 'summary']"
734,Does random forest do feature selection?,random forest,"['feature', 'selection', 'random forest', 'feature selection']"
735,What is ensemble models?,random forest,['ensemble']
736,Tell me about ensemble models?,random forest,['ensemble']
737,What do you know about ensemble models?,random forest,['ensemble']
738,Do you know about ensemble models?,random forest,['ensemble']
739,What is the process of ensemble models?,random forest,['ensemble']
740,How ensemble models works ?,random forest,['ensemble']
741,Tell me ensemble models?,random forest,['ensemble']
742,About ensemble models?,random forest,['ensemble']
743,Let me know about ensemble models?,random forest,['ensemble']
744,What do you say about ensemble models?,random forest,['ensemble']
745,What does ensemble models mean?,random forest,"['ensemble', 'mean']"
746,Explain ensemble models?,random forest,['ensemble']
747,Define ensemble models?,random forest,['ensemble']
748,Can you explain about ensemble models?,random forest,['ensemble']
749,Can you say something about ensemble models?,random forest,['ensemble']
750,Can you explain briefly about ensemble models?,random forest,['ensemble']
751,Can you give a short summary about ensemble models?What are the features  of random forest?,random forest,"['ensemble', 'random forest', 'summary']"
752,Tell me types of features of random forest?,random forest,['random forest']
753,Do you know types of  features of random forest?,random forest,['random forest']
754,Types of  features  of random forest?,random forest,['random forest']
755,Different types of  features  of random forest?,random forest,['random forest']
756,What are the different types of features  of random forest?,random forest,['random forest']
757,how many types of features  of random forest are there?,random forest,['random forest']
758,What are the important types of features of random forest?,random forest,['random forest']
759,list out different types of features of random forest?,random forest,['random forest']
760,what are the various types of features of random forest?,random forest,['random forest']
761,features of random forest?,random forest,['random forest']
762,mention some features of random forest methods?,random forest,['random forest']
763,say different features  of random forest methods?,random forest,['random forest']
764,do you know the various types of features of random forest?,random forest,['random forest']
765,What is overfitting problem?,random forest,['overfitting']
766,Tell me about overfitting problem?,random forest,['overfitting']
767,What do you know about overfitting problem?,random forest,['overfitting']
768,Do you know about overfitting problem?,random forest,['overfitting']
769,What is the process of overfitting problem?,random forest,['overfitting']
770,How overfitting problem works ?,random forest,['overfitting']
771,Tell me overfitting problem?,random forest,['overfitting']
772,About overfitting problem?,random forest,['overfitting']
773,Let me know about overfitting problem?,random forest,['overfitting']
774,What do you say about overfitting problem?,random forest,['overfitting']
775,What does overfitting proble mmean?,random forest,['overfitting']
776,Explain overfitting problem?,random forest,['overfitting']
777,Define overfitting problem?,random forest,['overfitting']
778,Can you explain about overfitting problem?,random forest,['overfitting']
779,Can you say something about overfitting problem?,random forest,['overfitting']
780,Can you explain briefly about overfitting problem?,random forest,['overfitting']
781,Can you give a short summary about overfitting problem?What are the packages  to build the  random forest?,random forest,"['overfitting', 'random forest', 'summary']"
782,Tell me types of packages to build the random forest?,random forest,['random forest']
783,Do you know types of  packages to build the random forest?,random forest,['random forest']
784,Types of  packages  to build the random forest?,random forest,['random forest']
785,Different types of  packages  to build the random forest?,random forest,['random forest']
786,What are the different types of packages  to build the random forest?,random forest,['random forest']
787,how many types of packages  to build the random forest are there?,random forest,['random forest']
788,What are the important types of packages to build the random forest?,random forest,['random forest']
789,list out different types of packages to build the random forest?,random forest,['random forest']
790,what are the various types of packages to build the random forest?,random forest,['random forest']
791,packages to build the random forest?,random forest,['random forest']
792,mention some packages to build the random forest methods?,random forest,['random forest']
793,say different packages  to build the random forest methods?,random forest,['random forest']
794,do you know the various types to build the packages of random forest?,random forest,['random forest']
795,What is boosting?,random forest,['boosting']
796,Tell me about boosting?,random forest,['boosting']
797,What do you know about boosting?,random forest,['boosting']
798,Do you know about boosting?,random forest,['boosting']
799,What is the process of boosting?,random forest,['boosting']
800,How boosting works ?,random forest,['boosting']
801,Tell me boosting?,random forest,['boosting']
802,About boosting?,random forest,['boosting']
803,Let me know about boosting?,random forest,['boosting']
804,What do you say about boosting?,random forest,['boosting']
805,What does boosting mean?,random forest,"['boosting', 'mean']"
806,Explain boosting?,random forest,['boosting']
807,Define boosting?,random forest,['boosting']
808,Can you explain about boosting?,random forest,['boosting']
809,Can you say something about boosting?,random forest,['boosting']
810,Can you explain briefly about boosting?,random forest,['boosting']
811,Can you give a short summary about boosting?,random forest,"['summary', 'boosting']"
1,What is principal component analysis?,pca,"['principal component', 'principal component analysis']"
2,What is pca?,pca,['pca']
3,Tell me about principal component analysis?,pca,"['principal component', 'principal component analysis']"
4,What do you know about principal component analysis?,pca,"['principal component', 'principal component analysis']"
